ts	phase	decision	why	evidence	result
2026-08-17T15:24:50Z	frame	Scoped this run to the complete locally verifiable Phase 0	Later phase exits require unresolved product decisions and external canaries, while Phase 0 is the first coherent vertical slice	docs/IMPLEMENTATION_PLAN.md:347	Phase 0 framing in progress
2026-08-17T15:29:13Z	baseline	Captured the pre-change repository gates	The old value must be visible before building the replacement	pnpm check, pnpm check-types, pnpm build, pnpm test	lint typecheck build pass for scaffolds; test script missing
2026-08-17T15:54:49Z	architecture	Select candidate C and one Brand Context output	It preserves one canonical head and removes a second report identity	.audit/phase0-architecture.md and independent Arena scores 35 38 44	Architecture frozen with candidate B and A grafts
2026-08-17T16:31:49Z	platform	Pinned the workspace to pnpm 11.22.0 and kept the release-age guard active	The pnpm 9 baseline was obsolete and a freshly published transitive package failed the current security policy	package.json, pnpm-workspace.yaml, pnpm-lock.yaml, scripts/check-runtime-contract.mjs	frozen install passes with es-module-lexer 2.3.1
2026-08-17T16:31:49Z	harness	Made the root gates execute real checks and Eve contract tests	The first Turbo test run reported success with zero tasks, which was not evidence	turbo.json, vitest.config.ts, tests/eve, .github/workflows/ci.yml	check and 11 tests and typecheck and Webpack build and Compose config pass
2026-08-17T16:31:55Z	platform	Use Webpack for production builds and keep Turbopack for development	Turbopack CSS workers cannot bind their local port in the managed build environment, while Next 16 officially supports the Webpack opt-out	apps/app/package.json, apps/web/package.json, Next.js CLI docs	both production builds pass
2026-08-17T16:33:25Z	platform	Discarded the Webpack production-build opt-out and restored Turbopack	The user rejected changing the production bundler; a sandbox limitation does not justify that product-level choice	apps/app/package.json, apps/web/package.json, user correction in current run	next build restored; local build remains blocked by sandbox port binding
2026-08-17T19:05:16Z	durability	Use tasks.started_at as the end-to-end delivery generation fence	Independent review showed that a reclaimed unbound task otherwise lets a late prior session win binding or mutate the graph	adrs/017-consultative-subagents-durable-root-work.md, adrs/018-one-shot-durable-agent-tasks.md, packages/brain and agent-product-marketer tests	address, auth, bind, tools, events, and settlement reject stale generations without a new table
2026-08-17T19:28:06Z	model-contract	Treat catalog-independent compilation only as diagnostic evidence, never as a requirement	The user corrected an overclaim; Phase 0 requires the explicit 1000000-token profile and complete fallback metadata, not an offline compiler	current user correction, docs/IMPLEMENTATION_PLAN.md:136-145, compiled Eve manifests	no test, script, or documentation gate requires catalog-independent compilation
2026-08-17T19:33:52Z	model-contract	Keep model metadata at the runtime selection boundary and use Eve catalog resolution during compilation	The static context-window field was an escape hatch added for this environment, not a Phase 0 requirement	packages/agents/src/model-config.ts, seven root agent configs, current user correction	factory returns only defineDynamic; runtime selections retain modelContextWindowTokens 1000000
2026-08-17T19:33:52Z	toolchain	Remove the temporary es-module-lexer override from the project contract	pnpm 11 applies its 1440-minute release-age delay by default, but a transient package age must not become a permanent repository requirement	pnpm-workspace.yaml, pnpm-lock.yaml, scripts/check-runtime-contract.mjs	frozen lock retains the already resolved mature dependency without a project-level override
2026-08-17T19:33:52Z	toolchain	Use pnpm 11's standard project-local virtual store behavior	The explicit false value only repeated pnpm 11's default and did not express a product or CI requirement	pnpm-workspace.yaml, scripts/check-runtime-contract.mjs	no repository gate asserts a machine-storage workaround
2026-08-17T19:44:49Z	toolchain	Accept pnpm's effective virtual-store configuration instead of forcing a repository value	A global pnpm setting can change the effective value, so the prior note that removal had no local effect was inaccurate; that machine choice still must not become a project requirement	pnpm-workspace.yaml, current pnpm config, independent sandbox-requirement audit	project config and runtime gate remain silent about the virtual-store location
2026-08-17T19:44:49Z	toolchain	Use Turbo directly from pnpm scripts	pnpm already places the workspace binary on PATH; the custom Node wrapper only duplicated that behavior and changed PATH for this execution environment	package.json, turbo.json, scripts/run-turbo.mjs	root scripts invoke turbo run directly and no gate hashes a removed wrapper
2026-08-17T19:46:28Z	toolchain	Confirm the implicit pnpm virtual-store setting and refresh install metadata normally	pnpm 11 defaults enableGlobalVirtualStore to false; the stale-state message records the explicit-to-implicit config change, not a different effective storage mode	official pnpm 11 settings, pnpm-workspace.yaml, frozen install gate	no project override is required and the next frozen install refreshes the recorded config
2026-08-17T19:46:28Z	harness	Require every Eve app to resolve its own declared dependency	The shared-package fallback let an incomplete workspace installation pass the version-parity test	tests/eve/installed-eve.ts, independent sandbox-requirement audit	missing per-app Eve links fail instead of borrowing packages/agents resolution
2026-08-17T19:59:26Z	toolchain	Declare pnpm's project-local virtual store explicitly	A frozen CI install records false while pnpm 11.22.0's pre-run verifier compares that state with an undefined local setting and rejects every script; this reproduces outside the sandbox whenever CI and local runs share the workspace	pnpm 11.22.0 workspace state, installed verifier source, pnpm-workspace.yaml	CI installs and local pnpm scripts use one stable project-local layout without wrappers or dependency overrides
2026-08-17T21:56:04Z	durability	Fence Context bootstrap ownership for 180 seconds and expose stale retry	Context import, remote fetch, and private Blob upload are each explicitly bounded; a later retry must recover from process death without overlapping a live winner or allowing the old process to commit	packages/brain/src/objects.ts, packages/brain/src/projections.ts, apps/app/lib/context-import.server.ts, apps/app/lib/blob.server.ts	one receipt-first claimant performs external work; replay makes zero provider calls; stale commit and recovery fail closed
2026-08-17T21:56:04Z	runtime-recovery	Drain an incomplete CMO prefix to an Eve turn boundary before mounting the interactive hook	A persisted snapshot can end mid-turn, so mounting directly falsely presents an idle session and loses exact-turn stop semantics	apps/app/lib/cmo.server.ts, apps/app/lib/cmo-recovery.ts, apps/app/components/cmo-console.tsx	full cursor pagination, the installed Eve reducer, temporary boundary drain, writer checkpoint, and PostgreSQL fallback share one recovery contract
2026-08-17T22:40:06Z	idempotency	Resolve CMO tool replay from persisted receipts before reading state mutated by the first execution	A durable Eve replay must reproduce the original semantic hash after Intent revision or question-resolution state changes	apps/agent-cmo/agent/lib/runtime-access.ts, PostgreSQL 17 tool integration tests	refine and question-resolution replays return one receipt and create one mutation
2026-08-17T22:40:06Z	idempotency	Mark and serialize Better Auth Organization creation as part of onboarding identity	The Brain receipt starts after Organization creation, so a lost response otherwise retries a globally unique slug before reaching the receipt	apps/app/lib/onboarding-organization.server.ts, PostgreSQL 17 onboarding integration tests	concurrent creates converge, foreign same-slug semantics fail closed, and both pre-Brain and post-Brain lost responses replay exactly
2026-08-17T23:57:11Z	toolchain	Remove the explicit global virtual-store setting after a frozen reinstall	The setting stabilized stale local install metadata but is not a product or CI requirement	pnpm-workspace.yaml, pnpm install --frozen-lockfile, scripts/check-runtime-contract.mjs	pnpm 11.22.0 standard configuration, frozen install, and runtime contract pass without a repository storage workaround
2026-08-17T23:57:11Z	durability	Use targetless Actor conflict handling followed by exact semantic validation	Human Actor materialization has independent unique keys, so selecting one arbiter can still lose a concurrent insert on the other key	packages/brain/src/internal.ts, ADR-014, PostgreSQL 17 concurrency tests	concurrent Member access converges on one exact Human Actor and rejects incompatible rows
2026-08-17T23:57:11Z	runtime-audit	Keep authority and binding fail closed while making the audit callback best effort	Audit persistence failure must not turn valid Eve work into a failed turn, while identity and owner binding remain authorization boundaries	apps/agent-cmo/agent/lib/cmo-audit.ts, apps/agent-product-marketer/agent/hooks/audit.ts, packages/agents/src/runtime-alert.ts	parse or ingest failures emit a closed sanitized alert; identity and root binding errors still propagate
2026-08-17T23:57:11Z	observability	Remove analytics event contracts with no required producer	The plan requires canonical Actions and operational alerts, not duplicate PostHog completion events in agent roots	packages/observability/src/contracts.ts, packages/observability/src/core.ts, package tests	only product events emitted by apps/app remain; agent roots avoid unnecessary analytics coupling
2026-08-17T23:57:11Z	harness	Exercise Next through production artifacts for the browser gate	Next development HMR clones open snapshot streams and can block reader cancellation; this is not production behavior	apps/app and apps/web exact next build scripts, playwright.config.ts, scripts/run-e2e.mjs	E2E builds with Turbopack, starts production artifacts, and changes no Next or Turbo product configuration
2026-08-17T23:57:11Z	verification	Prove exact winner charges, scoped cancellation, responsive baselines, and migration evidence	Phase 0 needs durable outcome evidence rather than only green component tests	tests/e2e/phase0.spec.ts, Playwright baselines, test-results/migration.log, CI artifact contract	PostgreSQL 17 full E2E passes 9 of 9 with exact winner ledger rows, stale-turn no-op, reviewed 320 to 1101 layouts, and redacted migration log
2026-08-18T00:23:18Z	sandbox-security	Pin every Eve sandbox owner to a backend that enforces deny-all egress	Eve 0.31.3 defaultBackend falls back to just-bash with no network isolation when no enforcing backend exists	seven root sandbox definitions, CMO Product Marketer subagent sandbox, tests/eve/sandbox-network-policy.test.ts	hosted uses Vercel deny-all; local uses Docker deny-all and missing Docker fails closed with no just-bash fallback
